id,title,image,imageType,usedIngredientCount,missedIngredientCount,missedIngredients,usedIngredients,unusedIngredients,likes
633547,Baked Cinnamon Apple Slices,https://spoonacular.com/recipeImages/633547-312x231.jpg,jpg,1,2,"[{'id': 2010, 'amount': 1.5, 'unit': 'tablespoons', 'unitLong': 'tablespoons', 'unitShort': 'Tbsp', 'aisle': 'Spices and Seasonings', 'name': 'cinnamon', 'original': '1 1/2 tablespoons of Cinnamon', 'originalName': 'Cinnamon', 'meta': [], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/cinnamon.jpg'}, {'id': 9299, 'amount': 0.5, 'unit': 'cup', 'unitLong': 'cups', 'unitShort': 'cup', 'aisle': 'Dried Fruits;Produce;Baking', 'name': 'raisins', 'original': '1/2 cup of Raisins', 'originalName': 'Raisins', 'meta': [], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/raisins.jpg'}]","[{'id': 9003, 'amount': 4.0, 'unit': '', 'unitLong': '', 'unitShort': '', 'aisle': 'Produce', 'name': 'apples', 'original': '4 Apples Sliced and Peeled – whatever type of apples I have in my refrigerator', 'originalName': 'Apples Sliced and Peeled – whatever type of apples I have in my refrigerator', 'meta': ['peeled', 'sliced'], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/apple.jpg'}]",[],1
662665,Swiss Bircher Muesli,https://spoonacular.com/recipeImages/662665-312x231.jpg,jpg,1,3,"[{'id': 1077, 'amount': 0.5, 'unit': 'cup', 'unitLong': 'cups', 'unitShort': 'cup', 'aisle': 'Milk, Eggs, Other Dairy', 'name': 'milk', 'original': '1/2 cup of Milk', 'originalName': 'Milk', 'meta': [], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/milk.png'}, {'id': 42184, 'amount': 0.5, 'unit': 'cup', 'unitLong': 'cups', 'unitShort': 'cup', 'aisle': 'Cereal', 'name': 'muesli', 'original': '1/2 cup muesli', 'originalName': 'muesli', 'meta': [], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/granola.jpg'}, {'id': 43261, 'amount': 3.0, 'unit': 'tablespoons', 'unitLong': 'tablespoons', 'unitShort': 'Tbsp', 'aisle': 'Milk, Eggs, Other Dairy', 'name': 'skim vanilla yoghurt', 'original': '3 tablespoons of plain or vanilla yoghurt', 'originalName': 'plain or vanilla yoghurt', 'meta': ['plain'], 'extendedName': 'plain skim vanilla yoghurt', 'image': 'https://spoonacular.com/cdn/ingredients_100x100/vanilla-yogurt.png'}]","[{'id': 9003, 'amount': 1.0, 'unit': '', 'unitLong': '', 'unitShort': '', 'aisle': 'Produce', 'name': 'apple', 'original': '1 Apple', 'originalName': 'Apple', 'meta': [], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/apple.jpg'}]",[],1
653145,No Churn Mango Ice Cream,https://spoonacular.com/recipeImages/653145-312x231.jpg,jpg,1,3,"[{'id': 1011053, 'amount': 500.0, 'unit': 'ml', 'unitLong': 'milliliters', 'unitShort': 'ml', 'aisle': 'Milk, Eggs, Other Dairy', 'name': 'double cream', 'original': '500ml heavy or double cream (48% fat)', 'originalName': 'heavy or double cream (48% fat)', 'meta': ['48%', '( fat)'], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/white-cream.png'}, {'id': 9436, 'amount': 0.75, 'unit': 'cup', 'unitLong': 'cups', 'unitShort': 'cup', 'aisle': 'Beverages', 'name': 'mango nectar', 'original': '3/4 cup thick mango juice/nectar', 'originalName': 'thick mango juice/nectar', 'meta': ['thick'], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/mango-nectar.jpg'}, {'id': 9160, 'amount': 1.0, 'unit': 'tablespoon', 'unitLong': 'tablespoon', 'unitShort': 'Tbsp', 'aisle': 'Produce', 'name': 'lime juice', 'original': '1 tablespoon lime juice', 'originalName': 'lime juice', 'meta': [], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/lime-juice.png'}]","[{'id': 9176, 'amount': 410.0, 'unit': 'g', 'unitLong': 'grams', 'unitShort': 'g', 'aisle': 'Produce', 'name': 'mango', 'original': '1 can mango slices in syrup (410g)', 'originalName': 'can mango slices in syrup', 'meta': ['canned'], 'extendedName': 'canned mango', 'image': 'https://spoonacular.com/cdn/ingredients_100x100/mango.jpg'}]",[],1
663858,Tropical Ice Pops,https://spoonacular.com/recipeImages/663858-312x231.jpg,jpg,1,4,"[{'id': 99001, 'amount': 1.0, 'unit': 'cup', 'unitLong': 'cup', 'unitShort': 'cup', 'aisle': 'Milk, Eggs, Other Dairy', 'name': 'coconut milk beverage', 'original': '1 cup unsweetened coconut beverage, divided', 'originalName': 'unsweetened coconut beverage, divided', 'meta': ['unsweetened', 'divided'], 'extendedName': 'unsweetened coconut milk beverage', 'image': 'https://spoonacular.com/cdn/ingredients_100x100/coconut-milk.png'}, {'id': 99009, 'amount': 1.0, 'unit': 'cup', 'unitLong': 'cup', 'unitShort': 'cup', 'aisle': 'Canned and Jarred', 'name': 'light coconut milk', 'original': '1 cup light coconut milk', 'originalName': 'light coconut milk', 'meta': ['light'], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/coconut-milk.jpg'}, {'id': 19911, 'amount': 3.5, 'unit': 'Tbs', 'unitLong': 'Tbs', 'unitShort': 'Tbs', 'aisle': 'Cereal', 'name': 'maple syrup', 'original': '3 1/2 to 4 1/2 Tbs maple syrup, divided (add more if necessary)', 'originalName': 'maple syrup, divided (add more if necessary)', 'meta': ['divided', '(add more if necessary)'], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/maple-syrup.png'}, {'id': 9266, 'amount': 0.75, 'unit': 'cup', 'unitLong': 'cups', 'unitShort': 'cup', 'aisle': 'Produce', 'name': 'pineapple', 'original': '3/4 cup pineapple, fresh or frozen', 'originalName': 'pineapple, fresh or frozen', 'meta': ['fresh'], 'extendedName': 'fresh pineapple', 'image': 'https://spoonacular.com/cdn/ingredients_100x100/pineapple.jpg'}]","[{'id': 9176, 'amount': 1.0, 'unit': 'cup', 'unitLong': 'cup', 'unitShort': 'cup', 'aisle': 'Produce', 'name': 'mango', 'original': '1 cup mango, fresh or frozen', 'originalName': 'mango, fresh or frozen', 'meta': ['fresh'], 'extendedName': 'fresh mango', 'image': 'https://spoonacular.com/cdn/ingredients_100x100/mango.jpg'}]",[],11
638779,Chobani Harvest Fruit Salad,https://spoonacular.com/recipeImages/638779-312x231.jpg,jpg,3,9,"[{'id': 9412, 'amount': 1.0, 'unit': '', 'unitLong': '', 'unitShort': '', 'aisle': 'Produce', 'name': 'bartlett pear', 'original': '1 Bartlett pear, chopped', 'originalName': 'Bartlett pear, chopped', 'meta': ['chopped'], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/bartlett-pear.png'}, {'id': 1019132, 'amount': 1.0, 'unit': 'cup', 'unitLong': 'cup', 'unitShort': 'cup', 'aisle': 'Produce', 'name': 'green grapes', 'original': '1 cup green grapes, halved', 'originalName': 'green grapes, halved', 'meta': ['green', 'halved'], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/white-grapes.jpg'}, {'id': 9132, 'amount': 1.0, 'unit': 'cup', 'unitLong': 'cup', 'unitShort': 'cup', 'aisle': 'Produce', 'name': 'grapes', 'original': '1 cup red globe grapes, halved and seeded', 'originalName': 'red globe grapes, halved and seeded', 'meta': ['red', 'halved', 'seeded'], 'extendedName': 'red grapes', 'image': 'https://spoonacular.com/cdn/ingredients_100x100/red-grapes.jpg'}, {'id': 9152, 'amount': 0.5, 'unit': 'teaspoon', 'unitLong': 'teaspoons', 'unitShort': 'tsp', 'aisle': 'Produce', 'name': 'lemon juice', 'original': '1/2 teaspoon lemon juice', 'originalName': 'lemon juice', 'meta': [], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/lemon-juice.jpg'}, {'id': 9299, 'amount': 0.5, 'unit': 'cup', 'unitLong': 'cups', 'unitShort': 'cup', 'aisle': 'Dried Fruits;Produce;Baking', 'name': 'raisins', 'original': '1/2 cup raisins', 'originalName': 'raisins', 'meta': [], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/raisins.jpg'}, {'id': 12142, 'amount': 0.5, 'unit': 'cup', 'unitLong': 'cups', 'unitShort': 'cup', 'aisle': 'Nuts;Baking', 'name': 'pecan', 'original': '1/2 cup pecan halves', 'originalName': 'pecan halves', 'meta': [], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/pecans.jpg'}, {'id': 99033, 'amount': 6.0, 'unit': 'ounces', 'unitLong': 'ounces', 'unitShort': 'oz', 'aisle': 'Milk, Eggs, Other Dairy', 'name': 'skim vanilla greek yogurt', 'original': '6 ounces vanilla-flavored Chobani Greek Yogurt', 'originalName': 'vanilla-flavored Chobani Greek Yogurt', 'meta': [], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/vanilla-yogurt.png'}, {'id': 19296, 'amount': 1.0, 'unit': 'tablespoon', 'unitLong': 'tablespoon', 'unitShort': 'Tbsp', 'aisle': 'Nut butters, Jams, and Honey', 'name': 'honey', 'original': '1 tablespoon honey', 'originalName': 'honey', 'meta': [], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/honey.png'}, {'id': 2010, 'amount': 0.125, 'unit': 'teaspoon', 'unitLong': 'teaspoons', 'unitShort': 'tsp', 'aisle': 'Spices and Seasonings', 'name': 'cinnamon', 'original': '1/8 teaspoon cinnamon', 'originalName': 'cinnamon', 'meta': [], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/cinnamon.jpg'}]","[{'id': 1099003, 'amount': 2.0, 'unit': '', 'unitLong': '', 'unitShort': '', 'aisle': 'Produce', 'name': 'pink lady apples', 'original': '2 Pink Lady apples, chopped', 'originalName': 'Pink Lady apples, chopped', 'meta': ['chopped'], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/apple.jpg'}, {'id': 1089003, 'amount': 2.0, 'unit': '', 'unitLong': '', 'unitShort': '', 'aisle': 'Produce', 'name': 'granny smith apples', 'original': '2 Granny Smith apples, chopped', 'originalName': 'Granny Smith apples, chopped', 'meta': ['chopped'], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/grannysmith-apple.png'}, {'id': 9040, 'amount': 1.0, 'unit': '', 'unitLong': '', 'unitShort': '', 'aisle': 'Produce', 'name': 'banana', 'original': '1 banana, sliced', 'originalName': 'banana, sliced', 'meta': ['sliced'], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/bananas.jpg'}]",[],8
638604,Chilled Swiss Oatmeal,https://spoonacular.com/recipeImages/638604-312x231.jpg,jpg,2,5,"[{'id': 8121, 'amount': 0.5, 'unit': 'cup', 'unitLong': 'cups', 'unitShort': 'cup', 'aisle': 'Cereal', 'name': 'old-fashioned oatmeal', 'original': '1/2 cup old-fashioned oatmeal (may use steel cut but not the instant kind)', 'originalName': 'old-fashioned oatmeal (may use steel cut but not the instant kind)', 'meta': ['instant', '(may use steel cut but not the kind)'], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/porridge-or-cream-of-wheat.png'}, {'id': 1001119, 'amount': 6.0, 'unit': 'oz', 'unitLong': 'ounces', 'unitShort': 'oz', 'aisle': 'Milk, Eggs, Other Dairy', 'name': 'vanilla yogurt', 'original': '6 oz low-fat vanilla yogurt (if using plain yogurt, add honey for sweetness)', 'originalName': 'low-fat vanilla yogurt (if using plain yogurt, add honey for sweetness)', 'meta': ['plain', 'low-fat', 'for sweetness', '(if using yogurt, add honey )'], 'extendedName': 'low fat plain vanilla yogurt', 'image': 'https://spoonacular.com/cdn/ingredients_100x100/vanilla-yogurt.png'}, {'id': 1077, 'amount': 0.33333334000000003, 'unit': 'cup', 'unitLong': 'cups', 'unitShort': 'cup', 'aisle': 'Milk, Eggs, Other Dairy', 'name': 'milk', 'original': '1/3 cup milk', 'originalName': 'milk', 'meta': [], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/milk.png'}, {'id': 9078, 'amount': 2.0, 'unit': 'tablespoon', 'unitLong': 'tablespoons', 'unitShort': 'Tbsp', 'aisle': 'Produce', 'name': 'cranberry', 'original': '2-3 tablespoon dried cranberry or raisins', 'originalName': 'dried cranberry or raisins', 'meta': ['dried'], 'extendedName': 'dried cranberry', 'image': 'https://spoonacular.com/cdn/ingredients_100x100/cranberries.jpg'}, {'id': 12155, 'amount': 1.0, 'unit': 'tablespoon', 'unitLong': 'tablespoon', 'unitShort': 'Tbsp', 'aisle': 'Nuts;Baking', 'name': 'walnuts', 'original': '1 tablespoon walnuts', 'originalName': 'walnuts', 'meta': [], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/walnuts.jpg'}]","[{'id': 9003, 'amount': 1.0, 'unit': 'small', 'unitLong': 'small', 'unitShort': 'small', 'aisle': 'Produce', 'name': 'apple', 'original': '1 small apple, chopped', 'originalName': 'apple, chopped', 'meta': ['chopped'], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/apple.jpg'}, {'id': 9040, 'amount': 1.0, 'unit': 'small', 'unitLong': 'small', 'unitShort': 'small', 'aisle': 'Produce', 'name': 'banana', 'original': '1 small banana, chopped', 'originalName': 'banana, chopped', 'meta': ['chopped'], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/bananas.jpg'}]",[],7
665469,Xocai Healthy Chocolate Peanut Butter Bannana Dip,https://spoonacular.com/recipeImages/665469-312x231.jpg,jpg,1,2,"[{'id': 19081, 'amount': 1.0, 'unit': '', 'unitLong': '', 'unitShort': '', 'aisle': 'Sweet Snacks', 'name': 'chocolate', 'original': '1 chunk Chocolate (Xocai Nugget)', 'originalName': 'Chocolate (Xocai Nugget)', 'meta': ['chunk', '(Xocai Nugget)'], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/milk-chocolate.jpg'}, {'id': 16098, 'amount': 1.0, 'unit': 'tbsp', 'unitLong': 'tablespoon', 'unitShort': 'Tbsp', 'aisle': 'Nut butters, Jams, and Honey', 'name': 'peanut butter', 'original': '1 tbsp Peanut Butter (Natural Peanut Butter)', 'originalName': 'Peanut Butter (Natural Peanut Butter)', 'meta': ['(Natural Peanut Butter)'], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/peanut-butter.png'}]","[{'id': 9040, 'amount': 1.0, 'unit': '', 'unitLong': '', 'unitShort': '', 'aisle': 'Produce', 'name': 'bananas', 'original': '1 stem Bananas (Banana, peeled)', 'originalName': 'stem Bananas (Banana, peeled)', 'meta': ['peeled', '(Banana, )'], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/bananas.jpg'}]",[],1
650485,Luscious Orange Cardamom Smoothie,https://spoonacular.com/recipeImages/650485-312x231.jpg,jpg,1,2,"[{'id': 9206, 'amount': 0.5, 'unit': 'cup', 'unitLong': 'cups', 'unitShort': 'cup', 'aisle': 'Beverages', 'name': 'orange juice', 'original': '1/2 cup orange juice, fresh preferred but bottled will work too. (I suggest starting with 1/4 cup orange juice and adding the rest slowly according to preference )', 'originalName': 'orange juice, fresh preferred but bottled will work too. (I suggest starting with 1/4 cup orange juice and adding the rest slowly according to preference )', 'meta': ['fresh', 'with 1/4 cup orange juice and adding the rest slowly according to preference )'], 'extendedName': 'fresh orange juice', 'image': 'https://spoonacular.com/cdn/ingredients_100x100/orange-juice.jpg'}, {'id': 2006, 'amount': 1.0, 'unit': 'pinch', 'unitLong': 'pinch', 'unitShort': 'pinch', 'aisle': 'Spices and Seasonings', 'name': 'cardamom powder', 'original': 'Pinch of cardamom powder (Cardamom powder is very strong so add only a pinch)', 'originalName': 'Pinch of cardamom powder (Cardamom powder is very strong so add only a pinch)', 'meta': ['(Cardamom powder is very strong so add only a pinch)'], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/cardamom.jpg'}]","[{'id': 9040, 'amount': 2.0, 'unit': '', 'unitLong': '', 'unitShort': '', 'aisle': 'Produce', 'name': 'bananas', 'original': '2 bananas, frozen, cut in chunks', 'originalName': 'bananas, frozen, cut in chunks', 'meta': ['frozen', 'cut in chunks'], 'extendedName': 'frozen bananas', 'image': 'https://spoonacular.com/cdn/ingredients_100x100/bananas.jpg'}]",[],1
655098,Peach Coconut Ice Cream,https://spoonacular.com/recipeImages/655098-312x231.jpg,jpg,1,2,"[{'id': 12118, 'amount': 27.2, 'unit': 'ounces', 'unitLong': 'ounces', 'unitShort': 'oz', 'aisle': 'Canned and Jarred;Milk, Eggs, Other Dairy', 'name': 'full-fat coconut milk', 'original': '2 cans full-fat coconut milk (13.6 ounces each)', 'originalName': 'cans full-fat coconut milk each)', 'meta': ['canned'], 'extendedName': 'canned full-fat coconut milk', 'image': 'https://spoonacular.com/cdn/ingredients_100x100/coconut-milk.png'}, {'id': 1049, 'amount': 1.0, 'unit': 'cup', 'unitLong': 'cup', 'unitShort': 'cup', 'aisle': 'Milk, Eggs, Other Dairy', 'name': 'half & half', 'original': '1 cup half & half', 'originalName': 'half & half', 'meta': [], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/fluid-cream.jpg'}]","[{'id': 9236, 'amount': 6.0, 'unit': 'large', 'unitLong': 'larges', 'unitShort': 'large', 'aisle': 'Produce', 'name': 'peaches', 'original': '6 large ripe peaches, pitted and quartered (peel on)', 'originalName': 'ripe peaches, pitted and quartered (peel on)', 'meta': ['pitted', 'ripe', 'quartered', '(peel on)'], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/peach.png'}]",[],8
649381,Lazy Cobbler,https://spoonacular.com/recipeImages/649381-312x231.jpg,jpg,1,3,"[{'id': 1001, 'amount': 8.0, 'unit': 'servings', 'unitLong': 'servings', 'unitShort': 'servings', 'aisle': 'Milk, Eggs, Other Dairy', 'name': 'butter', 'original': 'butter', 'originalName': 'butter', 'meta': [], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/butter-sliced.jpg'}, {'id': 2010, 'amount': 0.5, 'unit': 'teaspoon', 'unitLong': 'teaspoons', 'unitShort': 'tsp', 'aisle': 'Spices and Seasonings', 'name': 'cinnamon', 'original': '1/2 teaspoon cinnamon', 'originalName': 'cinnamon', 'meta': [], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/cinnamon.jpg'}, {'id': 18137, 'amount': 1.0, 'unit': '', 'unitLong': '', 'unitShort': '', 'aisle': 'Baking', 'name': 'white cake mix', 'original': '1 pkt white cake mix', 'originalName': 'pkt white cake mix', 'meta': ['white'], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/white-cake-mix.jpg'}]","[{'id': 9236, 'amount': 1.0, 'unit': 'large can', 'unitLong': 'large can', 'unitShort': 'large can', 'aisle': 'Produce', 'name': 'peaches', 'original': '1 large can sliced peaches', 'originalName': 'sliced peaches', 'meta': ['sliced'], 'extendedName': 'canned peaches', 'image': 'https://spoonacular.com/cdn/ingredients_100x100/peach.png'}]",[],1
641122,Curry Leaves Potato Chips,https://spoonacular.com/recipeImages/641122-312x231.jpg,jpg,1,2,"[{'id': 2009, 'amount': 1.0, 'unit': 'tsp', 'unitLong': 'teaspoon', 'unitShort': 'tsp', 'aisle': 'Spices and Seasonings', 'name': 'chili powder', 'original': '1 tsp plain chili powder', 'originalName': 'plain chili powder', 'meta': ['plain'], 'extendedName': 'plain chili powder', 'image': 'https://spoonacular.com/cdn/ingredients_100x100/chili-powder.jpg'}, {'id': 93604, 'amount': 3.0, 'unit': 'sprigs', 'unitLong': 'sprigs', 'unitShort': 'sprigs', 'aisle': 'Ethnic Foods', 'name': 'curry leaves', 'original': '3-4 sprigs curry leaves', 'originalName': 'curry leaves', 'meta': [], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/curry-leaves.jpg'}]","[{'id': 10011355, 'amount': 3.0, 'unit': '', 'unitLong': '', 'unitShort': '', 'aisle': 'Produce', 'name': 'red skin potatoes', 'original': '3 potatoes - remove skin, sliced thinly and soaked in ice water for 10-15 minutes.', 'originalName': 'potatoes - remove skin, sliced thinly and soaked in ice water for 10-15 minutes', 'meta': ['sliced', 'for 10-15 minutes.'], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/red-potatoes.jpg'}]",[],4
660032,Shrimps and Patatas Bravas,https://spoonacular.com/recipeImages/660032-312x231.jpg,jpg,1,3,"[{'id': 11215, 'amount': 6.0, 'unit': '', 'unitLong': '', 'unitShort': '', 'aisle': 'Produce', 'name': 'garlic cloves', 'original': '6 Garlic cloves, finely minced or pressed', 'originalName': 'Garlic cloves, finely minced or pressed', 'meta': ['finely minced', 'pressed'], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/garlic.png'}, {'id': 11297, 'amount': 2.0, 'unit': '', 'unitLong': '', 'unitShort': '', 'aisle': 'Produce;Spices and Seasonings', 'name': 'parsley', 'original': '2 hands of parsley', 'originalName': 'hands of parsley', 'meta': [], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/parsley.jpg'}, {'id': 15270, 'amount': 20.0, 'unit': '', 'unitLong': '', 'unitShort': '', 'aisle': 'Seafood', 'name': 'shrimp', 'original': '20 shrimp tails', 'originalName': 'shrimp tails', 'meta': [], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/shrimp.png'}]","[{'id': 11352, 'amount': 8.0, 'unit': 'small', 'unitLong': 'smalls', 'unitShort': 'small', 'aisle': 'Produce', 'name': 'potatoes', 'original': '8 smalls potatoes', 'originalName': 's potatoes', 'meta': [], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/potatoes-yukon-gold.png'}]",[],1
800780,Raspberry Lemonade Ice Pops- Easy & Refreshing,https://spoonacular.com/recipeImages/800780-312x231.jpg,jpg,1,2,"[{'id': 19296, 'amount': 1.0, 'unit': 'tablespoon', 'unitLong': 'tablespoon', 'unitShort': 'Tbsp', 'aisle': 'Nut butters, Jams, and Honey', 'name': 'honey', 'original': '1 tablespoon honey', 'originalName': 'honey', 'meta': [], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/honey.png'}, {'id': 9302, 'amount': 1.0, 'unit': 'cup', 'unitLong': 'cup', 'unitShort': 'cup', 'aisle': 'Produce', 'name': 'raspberries', 'original': '1 cup frozen raspberries', 'originalName': 'frozen raspberries', 'meta': ['frozen'], 'extendedName': 'frozen raspberries', 'image': 'https://spoonacular.com/cdn/ingredients_100x100/raspberries.jpg'}]","[{'id': 9150, 'amount': 2.0, 'unit': '', 'unitLong': '', 'unitShort': '', 'aisle': 'Produce', 'name': 'lemons', 'original': '2 lemons', 'originalName': 'lemons', 'meta': [], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/lemon.png'}]",[],1
649643,Lemon Glaze For Cakes,https://spoonacular.com/recipeImages/649643-312x231.jpg,jpg,1,2,"[{'id': 1019016, 'amount': 1.0, 'unit': 'serving', 'unitLong': 'serving', 'unitShort': 'serving', 'aisle': 'Beverages', 'name': 'juice', 'original': 'Juice', 'originalName': 'Juice', 'meta': [], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/apple-juice.jpg'}, {'id': 9156, 'amount': 1.0, 'unit': 'teaspoon', 'unitLong': 'teaspoon', 'unitShort': 'tsp', 'aisle': 'Produce', 'name': 'lemon peel', 'original': '1 teaspoon Grated lemon peel', 'originalName': 'Grated lemon peel', 'meta': ['grated'], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/zest-lemon.jpg'}]","[{'id': 9150, 'amount': 2.0, 'unit': 'tablespoons', 'unitLong': 'tablespoons', 'unitShort': 'Tbsp', 'aisle': 'Produce', 'name': 'lemon', 'original': '2 tablespoons Freshly squeezed lemon', 'originalName': 'Freshly squeezed lemon', 'meta': ['freshly squeezed'], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/lemon.png'}]",[],1
633167,Avocado Tomato & Mozzarella Panini/sandwiches,https://spoonacular.com/recipeImages/633167-312x231.jpg,jpg,1,3,"[{'id': 18029, 'amount': 8.0, 'unit': 'slices', 'unitLong': 'slices', 'unitShort': 'slice', 'aisle': 'Bakery/Bread', 'name': 'french bread', 'original': '8 slices french bread', 'originalName': 'french bread', 'meta': ['french'], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/crusty-bread.jpg'}, {'id': 1026, 'amount': 0.5, 'unit': 'cup', 'unitLong': 'cups', 'unitShort': 'cup', 'aisle': 'Cheese', 'name': 'mozzarella', 'original': '1/2 cup grated mozzarella about', 'originalName': 'grated mozzarella about', 'meta': ['grated'], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/mozzarella.png'}, {'id': 1001, 'amount': 1.0, 'unit': 'serving', 'unitLong': 'serving', 'unitShort': 'serving', 'aisle': 'Milk, Eggs, Other Dairy', 'name': 'butter', 'original': 'butter for outside of panini', 'originalName': 'butter for outside of panini', 'meta': ['for outside of panini'], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/butter-sliced.jpg'}]","[{'id': 9037, 'amount': 1.0, 'unit': '', 'unitLong': '', 'unitShort': '', 'aisle': 'Produce', 'name': 'avocado', 'original': '1 ripe avocado sliced', 'originalName': 'ripe avocado sliced', 'meta': ['ripe', 'sliced'], 'image': 'https://spoonacular.com/cdn/ingredients_100x100/avocado.jpg'}]",[],3
